1	John Lasseter	John Lasseter#Pete Docter	Tom Hanks#Tim Allen#Don Rickles	USA	A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.
2	Joe Johnston	Jonathan Hensleigh#Greg Taylor	Robin Williams#Kirsten Dunst#Bonnie Hunt	USA	When two kids find and play a magical board game, they release a man trapped for decades in it and a host of dangers that can only be stopped by finishing the game.
3	Howard Deutch	Mark Steven Johnson#Mark Steven Johnson	Walter Matthau#Jack Lemmon#Ann-Margret	English#Italian#German	John and Max resolve to save their beloved bait shop from turning into an Italian restaurant, just as its new female owner catches Max's attention.
4	Forest Whitaker	Terry McMillan#Terry McMillan	Whitney Houston#Angela Bassett#Loretta Devine	English	Based on Terry McMillan's novel, this film follows four very different African-American women and their relationships with the male gender.
5	Charles Shyer	Albert Hackett#Frances Goodrich	Steve Martin#Diane Keaton#Martin Short	English	George Banks must deal not only with the pregnancy of his daughter, but also with the unexpected pregnancy of his wife.
6	Michael Mann	Michael Mann	Al Pacino#Robert De Niro#Val Kilmer	USA	A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist.
7	Sydney Pollack	Samuel A. Taylor#Billy Wilder	Harrison Ford#Julia Ormond#Greg Kinnear	Germany#USA	An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.
8	Peter Hewitt	Mark Twain#Stephen Sommers	Jonathan Taylor Thomas#Brad Renfro#Charles Rocket	USA	Two best friends witness a murder and embark on a series of adventures in order to prove the innocence of the man wrongly accused of the crime.
9	Peter Hyams	Karen Elise Baldwin#Gene Quintano	Jean-Claude Van Damme#Powers Boothe#Raymond J. Barry	English	A former fireman takes on a group of terrorists holding the Vice President and others hostage during the seventh game of the NHL Stanley Cup finals.
10	Martin Campbell	Ian Fleming#Michael France	Pierce Brosnan#Sean Bean#Izabella Scorupco	UK#USA	James Bond teams up with the lone survivor of a destroyed Russian research center to stop the hijacking of a nuclear space weapon by a fellow Agent formerly believed to be dead.
11	Rob Reiner	Aaron Sorkin	Michael Douglas#Annette Bening#Martin Sheen	USA	Comedy-drama about a widowed U.S. President and a lobbyist who fall in love. It's all above-board, but "politics is perception", and sparks fly anyway.
12	Mel Brooks	Mel Brooks#Rudy De Luca	Leslie Nielsen#Mel Brooks#Peter MacNicol	France#USA	Mel Brooks' parody of the classic vampire story and its famous film adaptations.
