1	Toy Story (1995)	/title/tt0114709/?ref_=fn_al_tt_1	Toy Story	(1995)
2	Jumanji (1995)	/title/tt0113497/?ref_=fn_al_tt_1	Jumanji	(1995)
3	Grumpier Old Men (1995)	/title/tt0113228/?ref_=fn_al_tt_1	Grumpier Old Men	(1995)
4	Waiting to Exhale (1995)	/title/tt0114885/?ref_=fn_al_tt_1	Waiting to Exhale	(1995)
5	Father of the Bride Part II (1995)	/title/tt0113041/?ref_=fn_al_tt_1	Father of the Bride Part II	(1995)
6	Heat (1995)	/title/tt0113277/?ref_=fn_al_tt_1	Heat	(1995)
7	Sabrina (1995)	/title/tt0114319/?ref_=fn_al_tt_1	Sabrina	(1995)
8	Tom and Huck (1995)	/title/tt0112302/?ref_=fn_al_tt_1	Tom and Huck	(1995)
9	Sudden Death (1995)	/title/tt0114576/?ref_=fn_al_tt_1	Sudden Death	(1995)
10	GoldenEye (1995)	/title/tt0113189/?ref_=fn_al_tt_1	GoldenEye	(1995)
11	American President, The (1995)	/title/tt0112346/?ref_=fn_al_tt_1	The American President	(1995)
12	Dracula: Dead and Loving It (1995)	/title/tt0112896/?ref_=fn_al_tt_1	Dracula: Dead and Loving It	(1995)
13	Balto (1995)	/title/tt0112453/?ref_=fn_al_tt_1	Balto	(1995)
14	Nixon (1995)	/title/tt0113987/?ref_=fn_al_tt_1	Nixon	(1995)
15	Cutthroat Island (1995)	/title/tt0112760/?ref_=fn_al_tt_1	Cutthroat Island	(1995)
16	Casino (1995)	/title/tt0112641/?ref_=fn_al_tt_1	Casino	(1995)
17	Sense and Sensibility (1995)	/title/tt0114388/?ref_=fn_al_tt_1	Sense and Sensibility	(1995)
18	Four Rooms (1995)	/title/tt0113101/?ref_=fn_al_tt_1	Four Rooms	(1995)
19	Ace Ventura: When Nature Calls (1995)	/title/tt0112281/?ref_=fn_al_tt_1	Ace Ventura: When Nature Calls	(1995)
20	Money Train (1995)	/title/tt0113845/?ref_=fn_al_tt_1	Money Train	(1995)
21	Get Shorty (1995)	/title/tt0113161/?ref_=fn_al_tt_1	Get Shorty	(1995)
22	Copycat (1995)	/title/tt0112722/?ref_=fn_al_tt_1	Copycat	(1995)
23	Assassins (1995)	/title/tt0112401/?ref_=fn_al_tt_1	Assassins	(1995)
24	Powder (1995)	/title/tt0114168/?ref_=fn_al_tt_1	Powder	(1995)
25	Leaving Las Vegas (1995)	/title/tt0113627/?ref_=fn_al_tt_1	Leaving Las Vegas	(1995)
26	Othello (1995)	/title/tt0114057/?ref_=fn_al_tt_1	Othello	(1995)
27	Now and Then (1995)	/title/tt0114011/?ref_=fn_al_tt_1	Now and Then	(1995)
28	Persuasion (1995)	/title/tt0114117/?ref_=fn_al_tt_1	Persuasion
29	City of Lost Children, The (1995)	/title/tt0112682/?ref_=fn_al_tt_1	La cité des enfants perdus	(1995)
30	Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)	/title/tt0115012/?ref_=fn_al_tt_1	None	None
31	Dangerous Minds (1995)	/title/tt0112792/?ref_=fn_al_tt_1	Dangerous Minds	(1995)
32	Twelve Monkeys (1995)	/title/tt0114746/?ref_=fn_al_tt_1	Twelve Monkeys	(1995)
33	Wings of Courage (1995)	/title/tt0114952/?ref_=fn_al_tt_1	Wings of Courage	(1995)
34	Babe (1995)	/title/tt0112431/?ref_=fn_al_tt_1	Babe	(1995)
35	Carrington (1995)	/title/tt0112637/?ref_=fn_al_tt_1	Carrington	(1995)
36	Dead Man Walking (1995)	/title/tt0112818/?ref_=fn_al_tt_1	Dead Man Walking	(1995)
37	Across the Sea of Time (1995)	/title/tt0112286/?ref_=fn_al_tt_1	Across the Sea of Time	(1995)
38	It Takes Two (1995)	/title/tt0113442/?ref_=fn_al_tt_1	It Takes Two	(1995)
39	Clueless (1995)	/title/tt0112697/?ref_=fn_al_tt_1	Clueless	(1995)
40	Cry, the Beloved Country (1995)	/title/tt0112749/?ref_=fn_al_tt_1	Cry, the Beloved Country	(1995)
41	Richard III (1995)	/title/tt0114279/?ref_=fn_al_tt_1	Richard III	(1995)
42	Dead Presidents (1995)	/title/tt0112819/?ref_=fn_al_tt_1	Dead Presidents	(1995)
43	Restoration (1995)	/title/tt0114272/?ref_=fn_al_tt_1	Restoration	(1995)
44	Mortal Kombat (1995)	/title/tt0113855/?ref_=fn_al_tt_1	Mortal Kombat	(1995)
45	To Die For (1995)	/title/tt0114681/?ref_=fn_al_tt_1	To Die For	(1995)
46	How to Make an American Quilt (1995)	/title/tt0113347/?ref_=fn_al_tt_1	How to Make an American Quilt	(1995)
47	Seven (Se7en) (1995)	/title/tt0114369/?ref_=fn_al_tt_1	Se7en	(1995)
48	Pocahontas (1995)	/title/tt0114148/?ref_=fn_al_tt_1	Pocahontas	(I) (1995)
49	When Night Is Falling (1995)	/title/tt0114916/?ref_=fn_al_tt_1	When Night Is Falling	(1995)
50	Usual Suspects, The (1995)	/title/tt9422720/?ref_=fn_al_tt_1	Silver Shamrocks vs The Usual Suspects
51	Guardian Angel (1994)	/title/tt0109950/?ref_=fn_al_tt_1	Guardian Angel	(1994) (Video)
52	Mighty Aphrodite (1995)	/title/tt0113819/?ref_=fn_al_tt_1	Mighty Aphrodite	(1995)
53	Lamerica (1994)	/title/tt0110299/?ref_=fn_al_tt_1	Lamerica	(1994)
54	Big Green, The (1995)	/title/tt0112499/?ref_=fn_al_tt_1	The Big Green	(1995)
55	Georgia (1995)	/title/tt0113158/?ref_=fn_al_tt_1	Georgia	(1995)
56	Kids of the Round Table (1995)	/title/tt0113541/?ref_=fn_al_tt_1	Kids of the Round Table	(1995)
57	Home for the Holidays (1995)	/title/tt0113321/?ref_=fn_al_tt_1	Home for the Holidays	(1995)
58	Postino, Il (The Postman) (1994)	/title/tt0110877/?ref_=fn_al_tt_1	Il postino	(1994)
